name,id_on_api,league
Витязь,8709,KHL
Металлург,8707,KHL
Лада,8984,KHL
Автомобилист,10231,KHL
Ак Барс,8732,KHL
Сибирь,8733,KHL
Трактор,8708,KHL
Авангард,8703,KHL
Салават Юлаев,8736,KHL
Амур,8729,KHL
Барыс,8734,KHL
Адмирал,13796,KHL
Нефтехимик,8712,KHL
Динамо Минск,8728,KHL
Динамо Москва,8762,KHL
Торпедо,8727,KHL
ХК Сочи,21839,KHL
Спартак,8711,KHL
ЦСКА,8706,KHL
Куньлунь Ред Стар,30981,KHL
СКА,8713,KHL
Северсталь,8710,KHL
Локомотив,9002,KHL
Бостон Брюинз,6413,NHL
Баффало Сейбрз,6452,NHL
Каролина Харрикейнз,6456,NHL
Коламбус Блю Джекетс,6427,NHL
Детройт Ред Уингз,6450,NHL
Флорида Пантерз,6415,NHL
Монреаль Канадиенс,15209,NHL
Нью-Джерси Девилз,6409,NHL
Нью-Йорк Айлендерс,6414,NHL
Нью-Йорк Рейнджерс,6393,NHL
Оттава Сенаторз,6421,NHL
Филадельфия Флайерз,6420,NHL
Питтсбург Пингвинз,6410,NHL
Тампа-Бэй Лайтнинг,6422,NHL
Торонто Мейпл Лифс,6424,NHL
Вашингтон Кэпиталз,6419,NHL
Анахайм Дакс,6418,NHL
Аризона Койотис,6423,NHL
Калгари Флэймз,6412,NHL
Чикаго Блэкхокс,6417,NHL
Колорадо Эвеланш,6451,NHL
Даллас Старз,6392,NHL
Эдмонтон Ойлерз,6391,NHL
Лос-Анджелес Кингз,6395,NHL
Миннесота Уайлд,6416,NHL
Нэшвилл Предаторз,6455,NHL
Сан-Хосе Шаркс,6396,NHL
Сиэтл Кракен,68765,NHL
Сент-Луис Блюз,6425,NHL
Ванкувер Кэнакс,6394,NHL
Вегас Голден Найтс,48722,NHL
Виннипег Джетс,6426,NHL
